Sr. No.,BarCode,Parent Barcode,HSN/SAC,Item Name,MRP per quantity,Price (Rs),Suggested Profit Per Quantity,Suggested Profit,Paid Cost per quantity,Quantity,Total Value(Incl.of Tax)(Rs),Selling per quantity,Profit Per Quantity,Profit,,Suggested Profit Percent,Profit Percent,,Suggested Profit Total,Auctual Profit,
,8908001105149,,7129050,On1y Oregano 10 g,99,,14.85,14.85,84.15,1,84.15,94.545,10.395,10.395,,17.65%,12.35%,,,,
,8904340700359,,17049020,Pass Pass Pulse Orange Candy (190g),60,,9.76,9.76,50.24,1,50.24,56.096,5.856,5.856,,19.43%,11.66%,,,,
,8901786161003,,9109100,Everest Chicken Masala 100 g,92,,15.17,91.02,76.83,6,460.98,85.932,9.102,54.612,,19.74%,11.85%,,,,
,8901042954899,,9109100,MTR Pulao Masala Powder (100g),95,,15.67,47.01,79.33,3,237.99,88.732,9.402,28.206,,19.75%,11.85%,,,,
,8901042954721,,9109100,MTR Sambar Masala Powder (100g),86,,14.19,56.76,71.81,4,287.24,80.324,8.514,34.056,,19.76%,11.86%,,,,
,8901042954769,,9109100,MTR Vangi Bhath Brinjal Rice Powder (100g),80,,13.2,39.6,66.8,3,200.4,74.72,7.92,23.76,,19.76%,11.86%,,,,
,8901042955254,,21039010,MTR Puliogare Paste 200 g,100,,16.5,66,83.5,4,334,93.4,9.9,39.6,,19.76%,11.86%,,,,
,8901042954844,,9093200,Mtr Jeera Pwd 100G Pp,85,,14.03,28.06,70.97,2,141.94,79.388,8.418,16.836,,19.77%,11.86%,,,,
,8901207025365,,4090000,Dabur Honey 250 g,125,,20.74,62.22,104.26,3,312.78,116.704,12.444,37.332,,19.89%,11.94%,,,,
,8901786061006,,9109100,Everest Chaat Masala 100 g,85,,14.64,43.92,70.36,3,211.08,79.144,8.784,26.352,,20.81%,12.48%,,,,
,8901786100507,,9109100,Everest Garam Masala 50 g,52,,9.31,46.55,42.69,5,213.45,48.276,5.586,27.93,,21.81%,13.09%,,,,
,8901786260508,,9041200,Everest Black Pepper Powder 50 g,78,,13.97,69.85,64.03,5,320.15,72.412,8.382,41.91,,21.82%,13.09%,,,,
,8901786151004,,9109100,Everest Meat Masala 100 g,92,,16.48,82.4,75.52,5,377.6,85.408,9.888,49.44,,21.82%,13.09%,,,,
,80177173,,18069030,Nutella Hazelnut Spread With Cocoa 350 g,399,,76.75,230.25,322.25,3,966.75,368.3,46.05,138.15,,23.82%,14.29%,,,,
,8901042954820,,9103030,MTR Turmeric Powder 100 g,40,,8,48,32,6,192,36.8,4.8,28.8,,25.00%,15.00%,,,,
,8901042954752,,9109100,Mtr Vangi Bhath Powder 200G Pp,155,,31.01,93.03,123.99,3,371.97,142.596,18.606,55.818,,25.01%,15.01%,,,,
,8901361403283,,96039000,Scotch-Brite Silver Spark (6pc),120,,25.13,75.39,94.87,3,284.61,107.435,12.565,37.695,,26.49%,13.24%,,,,
,8901207026553,,4090000,Dabur Honey Squeezy 225 g (Buy 1 Get 1 Free),249,,61.4,184.2,187.6,3,562.8,218.3,30.7,92.1,,32.73%,16.36%,,,,
,8904083300748,,22029930,Milky Mist Vanilla Milkshake 220 ml,40,,9.99,49.95,30.01,5,150.05,35.005,4.995,24.975,,33.29%,16.64%,,,,
,8901314310033,,33061020,Colgate Herbal Toothpaste 200 g,155,,39.16,234.96,115.84,6,695.04,135.42,19.58,117.48,,33.81%,16.90%,,,,
,8901440013099,,9109100,Eastern Chicken Masala (100g),63,,16.38,81.9,46.62,5,233.1,54.81,8.19,40.95,,35.14%,17.57%,,,,
,8906082522480,,22090010,Kapiva Ayurveda Apple Cider Vinegar 500 ml,299,,78.1,234.3,220.9,3,662.7,259.95,39.05,117.15,,35.36%,17.68%,,,,
,8902433007712,,18069010,Snickers Peanut Chocolate 14 g (Pack of 12),199,,54.91,54.91,144.09,1,144.09,171.545,27.455,27.455,,38.11%,19.05%,,,,
,8901123005403,,19059010,Lotte Choco Pie 28 g (Pack of 12),170,,47.77,143.31,122.23,3,366.69,146.115,23.885,71.655,,39.08%,19.54%,,,,
,8901440023166,,9103030,Eastern Turmeric / Haldi Powder (500g),185,,52.1,52.1,132.9,1,132.9,158.95,26.05,26.05,,39.20%,19.60%,,,,
,8904152403219,,17049020,TOFFEEMAN Coconut Bite Toffee 300 g,100,,28.33,141.65,71.67,5,358.35,85.835,14.165,70.825,,39.53%,19.76%,,,,
,8901192205261,,21039090,Catch Ginger Garlic Paste 200 g,50,,16.5,49.5,33.5,3,100.5,41.75,8.25,24.75,,49.25%,24.63%,,,,
,8901512916600,,18069030,Sundrop Cocoanut Almond Choco Spread (350g),300,,102.01,306.03,197.99,3,593.97,248.995,51.005,153.015,,51.52%,25.76%,,,,
,8901314308443,,96032100,Colgate zigzag Medium Anti Bacterial Assrted ToothBrush 6P,135,,48.8,146.4,86.2,3,258.6,110.6,24.4,73.2,,56.61%,28.31%,,,,
,8902689850773,,9061990,Fine Life Cassia Cinnamon (50g),45,,18.49,36.98,26.51,2,53.02,35.755,9.245,18.49,,69.75%,34.87%,,,,
,8906022340112,,19030000,Varalakshmi Sabudana / Sago 500 g,75,,34,68,41,2,82,58,17,34,,82.93%,41.46%,,,,
,8906009078014,,19053100,Unibic Assorted Cookies 450 g (Pack of 6),200,,91.65,91.65,108.35,1,108.35,154.175,45.825,45.825,,84.59%,42.29%,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,581040099,,19053100,Sunfeast Dark Fantasy Chocolate Center Filled Biscuits (25g Pack of 10),100,,9.96,9.96,90.04,1,90.04,100,9.96,9.96,,11.06%,11.06%,,,,
,8901725015886,,19053100,Sunfeast Dark Fantasy Chocolate Center Filled Biscuits,10,,,0,,100,90.04,10,10,1000,,,,,,,
,581038863,,19053100,Sunfeast Bounce Tangy Orange Cream Biscuits(30g Pack of 12),60,,7.44,22.32,52.56,3,157.68,60,7.44,22.32,,14.16%,14.16%,,,,
,8909081001147,,19053100,Sunfeast Bounce Tangy Orange Cream Biscuits,5,,,0,,36,,5,5,180,,,,,,,
,8901725015275,,19053100,Sunfeast Dark Fantasy Choco Fills Cookies 75 g,40,,5.17,180.95,34.83,35,1219.05,40,5.17,180.95,,14.84%,14.84%,,,,
,581040674,,19053100,Parle Hide & Seek Chocolate Biscuits 33g Pack of 20,200,,12.82,12.82,187.18,1,187.18,200,12.82,12.82,,6.85%,6.85%,,,,
,8901719100369,,19053100,Parle Hide & Seek Chocolate Biscuits,10,,,0,,20,,10,10,200,,,,,,,
,8901058004953,,21032000,Maggi Pichkoo Rich Tomato Ketchup 75 g,15,,2.42,29.04,12.58,12,150.96,15,2.42,29.04,,19.24%,19.24%,,,,
,581040636,,19053100,"Sunfeast Moms Magic Cashew and Almond (25g, Pack of 12)",60,,7.15,21.45,52.85,3,158.55,60,7.15,21.45,,13.53%,13.53%,,,,
,8901725000622,,19053100,Sunfeast Moms Magic Cashew and Almond,5,,,0,,36,,5,5,180,,,,,,,
,8904340700441,,17049020,Pulse Kachcha Aam Flavoured Candy Jar (950g),250,,28.88,28.88,221.12,1,221.12,250,28.88,28.88,,13.06%,13.06%,,,,
,8901063029262,,19053100,Britannia Jimjam Cream Biscuits 92 g,25,,2.28,6.84,22.72,3,68.16,25,2.28,6.84,,10.04%,10.04%,,,,
,8906033740963,,19053100,McVitie's Bourbon Delight Biscuits 100 g,30,,15.21,91.26,14.79,6,88.74,30,15.21,91.26,,102.84%,102.84%,,,,
,8908009419347,,19059010,Bauli Choco Vanilla Sandwich Cake 25 g (Contains Egg),10,,2.49,29.88,7.51,12,90.12,10,2.49,29.88,,33.16%,33.16%,,,,
